Value,Source,Original_Column,Row_Index,Year
0.0,Excel,Jan,0,2011
0.0,Excel,Jan,1,2011
0.0,Excel,Jan,2,2011
0.0,Excel,Jan,3,2011
0.0,Excel,Jan,4,2011
0.0,Excel,Jan,5,2011
0.0,Excel,Jan,6,2011
0.0,Excel,Jan,7,2011
0.0,Excel,Jan,8,2011
0.0,Excel,Jan,9,2011
0.0,Excel,Jan,10,2011
0.0,Excel,Jan,11,2011
0.0,Excel,Jan,12,2011
0.0,Excel,Jan,13,2011
0.0,Excel,Jan,14,2011
0.0,Excel,Jan,15,2011
0.0,Excel,Jan,16,2011
0.0,Excel,Jan,17,2011
0.0,Excel,Jan,18,2011
0.0,Excel,Jan,19,2011
0.0,Excel,Jan,20,2011
0.0,Excel,Jan,21,2011
0.0,Excel,Jan,22,2011
0.0,Excel,Jan,23,2011
0.0,Excel,Jan,24,2011
0.0,Excel,Jan,25,2011
0.0,Excel,Jan,26,2011
0.0,Excel,Jan,27,2011
0.0,Excel,Jan,28,2011
0.0,Excel,Jan,29,2011
0.0,Excel,Jan,30,2011
0.0,Excel,Feb,0,2011
0.01,Excel,Feb,1,2011
0.0,Excel,Feb,2,2011
0.0,Excel,Feb,3,2011
0.0,Excel,Feb,4,2011
0.0,Excel,Feb,5,2011
0.0,Excel,Feb,6,2011
0.0,Excel,Feb,7,2011
0.0,Excel,Feb,8,2011
0.0,Excel,Feb,9,2011
0.0,Excel,Feb,10,2011
0.0,Excel,Feb,11,2011
0.0,Excel,Feb,12,2011
0.0,Excel,Feb,13,2011
0.0,Excel,Feb,14,2011
0.01,Excel,Feb,15,2011
0.01,Excel,Feb,16,2011
0.01,Excel,Feb,17,2011
0.0,Excel,Feb,18,2011
0.0,Excel,Feb,19,2011
0.0,Excel,Feb,20,2011
0.0,Excel,Feb,21,2011
0.0,Excel,Feb,22,2011
0.0,Excel,Feb,23,2011
0.0,Excel,Feb,24,2011
0.0,Excel,Feb,25,2011
0.0,Excel,Feb,26,2011
0.0,Excel,Feb,27,2011
,Excel,Feb,28,2011
,Excel,Feb,29,2011
,Excel,Feb,30,2011
0.0,Excel,Mar,0,2011
0.0,Excel,Mar,1,2011
0.0,Excel,Mar,2,2011
0.0,Excel,Mar,3,2011
0.0,Excel,Mar,4,2011
0.0,Excel,Mar,5,2011
0.0,Excel,Mar,6,2011
0.0,Excel,Mar,7,2011
0.0,Excel,Mar,8,2011
0.0,Excel,Mar,9,2011
0.0,Excel,Mar,10,2011
0.0,Excel,Mar,11,2011
0.0,Excel,Mar,12,2011
0.0,Excel,Mar,13,2011
25.7,Excel,Mar,14,2011
0.01,Excel,Mar,15,2011
29.0,Excel,Mar,16,2011
0.0,Excel,Mar,17,2011
3.6,Excel,Mar,18,2011
0.0,Excel,Mar,19,2011
0.0,Excel,Mar,20,2011
0.0,Excel,Mar,21,2011
0.01,Excel,Mar,22,2011
0.0,Excel,Mar,23,2011
0.0,Excel,Mar,24,2011
0.0,Excel,Mar,25,2011
0.0,Excel,Mar,26,2011
0.0,Excel,Mar,27,2011
0.0,Excel,Mar,28,2011
0.0,Excel,Mar,29,2011
0.0,Excel,Mar,30,2011
0.0,Excel,Apr,0,2011
0.0,Excel,Apr,1,2011
0.0,Excel,Apr,2,2011
0.0,Excel,Apr,3,2011
0.0,Excel,Apr,4,2011
0.0,Excel,Apr,5,2011
0.0,Excel,Apr,6,2011
0.0,Excel,Apr,7,2011
0.0,Excel,Apr,8,2011
0.0,Excel,Apr,9,2011
0.0,Excel,Apr,10,2011
0.0,Excel,Apr,11,2011
0.0,Excel,Apr,12,2011
0.0,Excel,Apr,13,2011
0.0,Excel,Apr,14,2011
